PitchNo,Date,Time,Pitcher,PitcherId,TaggedPitchType,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,VertBreak,InducedVertBreak,HorzBreak
1,10/1/2024,11:00:57 AM,Courtney Donahue,,Curveball,60.00309432,7.645463561,-2.221403621,979.9040638,86.90709989,9:00,1.423941517,0.440299503,-33.5282268,1.492713632,-7.221747444
2,10/1/2024,11:01:11 AM,Courtney Donahue,,Riseball,59.24232338,6.116486788,0.186334139,1061.600596,94.40812535,9:15,1.260930608,0.266430194,-33.47655967,2.111416471,-7.188260664
3,10/1/2024,11:01:27 AM,Courtney Donahue,,Riseball,58.20223201,8.780668047,-0.706630045,841.6962585,87.61143311,9:00,1.186291642,0.535602296,-35.95073031,1.39908409,-7.249504109
4,10/1/2024,11:01:46 AM,Courtney Donahue,,Riseball,59.28196288,8.185062517,-1.827288807,,,,1.233615751,0.710193617,,,
5,10/1/2024,11:02:15 AM,Courtney Donahue,,Changeup,51.86991121,7.750714086,-0.465865606,671.9377396,81.98136337,8:45,1.617027153,0.089682204,-46.02021103,0.755205483,-8.763633597
6,10/1/2024,11:02:46 AM,Courtney Donahue,,Riseball,56.67555215,8.657211818,-2.888438524,,,,1.25707641,0.975431499,,,
7,10/1/2024,11:03:05 AM,Courtney Donahue,,Fastball,61.36348454,8.101948579,1.085545693,670.9794709,90.68190092,9:00,1.417618402,0.161226821,-32.09629686,1.355151236,-5.912390648
8,10/1/2024,11:03:23 AM,Courtney Donahue,,Fastball,57.95864207,7.219882177,-0.735318365,882.4261907,84.51265911,8:45,1.568087723,0.307847789,-36.17311936,1.184739022,-5.181486524
9,10/1/2024,11:03:59 AM,Courtney Donahue,,Fastball,56.2982196,8.212203615,1.721247733,1061.473852,83.37331939,8:45,1.331007193,0.023916223,-39.23723649,0.524202699,-7.345617421
10,10/1/2024,11:04:18 AM,Courtney Donahue,,Changeup,50.98358175,6.528400634,-0.844030164,859.7880901,88.12139933,9:00,1.298970464,0.316919257,-46.20937918,1.959380455,-7.572652663
11,10/1/2024,11:04:41 AM,Courtney Donahue,,Changeup,50.32107123,7.753164137,-1.258674248,891.6592783,82.86045859,8:45,1.186562679,0.315337719,-48.35264743,1.383452519,-7.573067527
12,10/1/2024,11:05:01 AM,Courtney Donahue,,Fastball,61.23529499,6.50089404,-0.797759227,,,,1.297665823,0.679520578,,,
13,10/1/2024,11:05:16 AM,Courtney Donahue,,Fastball,59.49867452,4.925134412,0.474054895,912.5898015,74.06648832,8:30,1.181175695,0.13855424,-35.27269403,-0.14623708,-5.48789105
14,10/1/2024,11:05:31 AM,Courtney Donahue,,Curveball,60.26421694,5.527477989,-1.156237496,1102.300318,76.60276254,8:30,1.245847037,0.346860218,-34.21220679,0.136606511,-6.528041843
15,10/1/2024,11:06:18 AM,Courtney Donahue,,Riseball,59.21487457,5.757617581,-0.052413261,862.2253844,101.7870438,9:30,1.458297309,0.842707723,-32.67428176,2.901393486,-6.29743998
16,10/1/2024,11:06:45 AM,Courtney Donahue,,Fastball,61.1483881,6.905784177,-0.211850056,654.6515118,75.71502596,8:30,1.399811786,0.693848179,-33.16518718,0.3289662,-3.947396143
17,10/1/2024,11:07:02 AM,Courtney Donahue,,Changeup,48.48811997,8.404691439,1.278905693,729.6165481,85.1072935,8:45,1.402743209,0.854279763,-52.2621104,1.393861568,-7.730586234
18,10/1/2024,11:07:19 AM,Courtney Donahue,,Curveball,61.33292008,5.658753802,-2.362701805,,,,1.378924986,0.731653809,,,
19,10/1/2024,11:07:40 AM,Courtney Donahue,,Curveball,59.49599729,7.157744566,-2.942870301,,,,1.502187786,0.614053654,,,
20,10/1/2024,11:08:00 AM,Courtney Donahue,,Changeup,50.37663348,8.490062962,-0.903992851,766.0919623,76.44686759,8:30,1.442134139,0.505916439,-49.3811028,0.395769425,-7.462304083
21,10/1/2024,11:08:28 AM,Courtney Donahue,,Changeup,51.31656591,8.117645164,2.011422017,972.7690906,80.90285666,8:45,1.126253164,0.282899614,-47.44189127,0.39924413,-8.024279697
22,10/1/2024,11:08:44 AM,Courtney Donahue,,Fastball,59.94327206,4.637875071,-1.370690609,851.3340355,64.12762097,8:15,1.344109314,0.112300276,-34.97177781,-0.35490542,-4.265254829
23,10/1/2024,11:09:00 AM,Courtney Donahue,,Fastball,61.67095316,4.54317634,-0.603845461,816.293574,79.11839251,8:45,1.486026655,0.47361977,-31.96377954,0.70514431,-3.981180773
24,10/1/2024,11:09:17 AM,Courtney Donahue,,Riseball,60.3850212,6.766301002,0.19803623,1116.825917,93.07892117,9:00,1.603263461,0.069476323,-32.50709417,1.830668551,-6.205819041
25,10/1/2024,11:09:37 AM,Courtney Donahue,,Changeup,49.38092408,7.423753261,1.88071564,736.5273698,83.14853229,8:45,1.518231225,0.486482277,-50.53589249,0.962128209,-7.802124523
26,10/1/2024,11:10:14 AM,Courtney Donahue,,Curveball,61.30562888,4.400818984,-1.376022173,1032.875223,80.9587919,8:45,1.181676709,0.563531953,-32.19599188,0.882842713,-5.058948821
27,10/1/2024,11:10:30 AM,Courtney Donahue,,Fastball,60.75184017,6.355767508,-1.271834275,993.0531838,73.71714437,8:30,1.262971599,0.829074587,-34.0270793,-0.127837902,-5.946213203
28,10/1/2024,11:11:00 AM,Courtney Donahue,,Fastball,60.3250569,4.874499308,1.252053371,848.2988567,83.61803728,8:45,1.303030908,0.256379016,-33.44458665,0.722074641,-4.523694989
29,10/1/2024,11:11:16 AM,Courtney Donahue,,Changeup,52.17095702,6.843200252,-0.495529772,736.2158906,70.26325516,8:15,1.400854109,0.481606986,-46.54262079,-0.507650851,-6.960161359
