PitchNo,Date,Time,Pitcher,PitcherId,TaggedPitchType,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,VertBreak,InducedVertBreak,HorzBreak
1,10/1/2024,10:49:05 AM,Jayci Kruse,,Dropball,57.06563105,4.948330463,-2.247223295,374.0783569,358.9995625,6:00,2.25126478,0.395054252,-41.66649583,-3.412077535,0.025640724
2,10/1/2024,10:49:24 AM,Jayci Kruse,,Dropball,57.81879027,3.933507261,-0.219312861,591.0610229,50.73925457,7:45,2.385806692,-0.142082537,-39.57278578,-2.447765651,-5.0771042
3,10/1/2024,10:49:44 AM,Jayci Kruse,,Dropball,57.18182434,1.480476904,-0.867111137,,,,2.403427315,0.208067744,,,
4,10/1/2024,10:50:01 AM,Jayci Kruse,,Screwball,56.90551293,5.666529927,-0.475855831,713.2725543,355.6553401,5:45,1.905399314,0.224358059,-41.82413092,-3.334635017,0.356759568
5,10/1/2024,10:50:20 AM,Jayci Kruse,,Changeup,50.12407413,6.110345493,-0.70860497,,,,2.610348277,0.325568305,,,
6,10/1/2024,10:50:40 AM,Jayci Kruse,,Dropball,57.7898127,4.251107603,-4.384211312,597.9013112,189.4397773,12:15,2.921221545,0.306407357,-27.9021431,9.471614632,1.349421472
7,10/1/2024,10:50:57 AM,Jayci Kruse,,Dropball,59.35404726,4.343871838,-1.593912035,742.569397,27.48891741,7:00,2.11987573,0.081458716,-40.48908268,-5.180176112,-3.68938731
8,10/1/2024,10:51:12 AM,Jayci Kruse,,Dropball,57.83324216,2.460556419,-0.310850991,469.0333026,6.393650494,6:15,2.436290589,0.294333074,-41.40560833,-4.37527655,-0.93729173
9,10/1/2024,10:51:28 AM,Jayci Kruse,,Dropball,57.09486815,5.531081608,-1.972988975,697.6851722,15.71249359,6:30,2.083941738,0.128854619,-44.21911453,-5.928817932,-2.22089472
10,10/1/2024,10:51:57 AM,Jayci Kruse,,,57.65602543,3.633390628,-2.389471433,475.1944345,26.47875097,7:00,2.234189721,0.124153461,-39.23923837,-1.860845191,-2.031318411
11,10/1/2024,10:51:58 AM,Jayci Kruse,,Dropball,,,,,,,,,,,
12,10/1/2024,10:52:19 AM,Jayci Kruse,,Dropball,58.88812227,4.480649023,-2.182729598,607.5510947,33.75268365,7:15,2.327661278,0.255163645,-38.60418531,-2.709404381,-3.092340866
13,10/1/2024,10:52:36 AM,Jayci Kruse,,Dropball,58.54944367,4.663874832,-0.693046568,632.6871817,20.24633742,6:45,2.223665967,0.400076051,-39.91625658,-3.651358277,-2.02620259
14,10/1/2024,10:52:55 AM,Jayci Kruse,,Screwball,57.84404761,4.428569195,1.183133538,,,,1.945744911,0.267828965,,,
15,10/1/2024,10:53:11 AM,Jayci Kruse,,Changeup,50.65803264,3.735579046,-0.84474715,,,,2.459831076,0.191240264,,,
16,10/1/2024,10:53:30 AM,Jayci Kruse,,Dropball,58.03169569,4.552669671,-3.081270667,328.93455,18.43171513,6:30,2.189878992,0.164636068,-40.92000714,-3.893231658,-1.864168573
17,10/1/2024,10:53:56 AM,Jayci Kruse,,Dropball,59.14821779,4.592689721,0.378984771,,,,2.518137423,0.519585783,,,
18,10/1/2024,10:54:11 AM,Jayci Kruse,,Dropball,58.18656706,2.250841194,-2.365173034,,,,2.56080675,0.48261136,,,
19,10/1/2024,10:54:27 AM,Jayci Kruse,,Dropball,56.98003958,3.893669025,-2.972873323,,,,2.71924009,0.526084873,,,
20,10/1/2024,10:54:50 AM,Jayci Kruse,,Dropball,57.44117642,6.419015354,-2.78216976,630.4561796,19.77614212,6:45,1.922617757,0.573069824,-40.93938821,-2.965015928,-1.646617729
21,10/1/2024,10:55:14 AM,Jayci Kruse,,Dropball,58.75935003,3.188308956,0.67790881,386.5980104,23.6130566,6:45,2.201396892,0.658059446,-38.90763305,-3.020197472,-2.102604916
22,10/1/2024,10:55:39 AM,Jayci Kruse,,Dropball,58.39453164,3.790364182,-1.55189016,499.2678977,9.331178499,6:15,2.328894875,0.254786002,-38.91274857,-2.51051103,-0.870571048
23,10/1/2024,10:56:02 AM,Jayci Kruse,,Dropball,57.80956253,3.937158674,-1.351966341,541.2962543,13.50114383,6:30,2.254297187,0.300508287,-42.24281813,-5.070301624,-1.769430276
24,10/1/2024,10:56:22 AM,Jayci Kruse,,Dropball,58.46970697,2.728701612,-1.320314206,,,,2.498931383,0.336804114,,,
25,10/1/2024,10:56:45 AM,Jayci Kruse,,Changeup,50.5722839,5.340776604,-1.400793295,490.4650462,15.48277888,6:30,2.123053384,0.046057056,-55.08272925,-6.281653687,-2.298622804
26,10/1/2024,10:57:04 AM,Jayci Kruse,,Screwball,57.4361701,7.320921253,-1.435559017,698.9761108,9.413582402,6:15,1.601009673,0.233125867,-40.85532854,-2.823245883,-0.495337057
27,10/1/2024,10:57:40 AM,Jayci Kruse,,Dropball,57.71915802,6.157929751,-3.014305387,672.1136492,9.91525453,6:15,2.346308927,0.00457214,-42.40433632,-4.816396954,-1.131376536
28,10/1/2024,10:57:56 AM,Jayci Kruse,,Dropball,58.55636388,3.520574871,-2.372172531,742.9122072,13.91243556,6:30,2.108794056,0.130288038,-41.08667504,-4.836688614,-1.925930032
29,10/1/2024,10:58:24 AM,Jayci Kruse,,Changeup,50.28841115,8.106912148,-3.33593931,527.5837045,16.16749838,6:30,2.059378131,0.096418057,-56.38284929,-6.389177106,-2.455853939
30,10/1/2024,10:58:42 AM,Jayci Kruse,,Screwball,56.73561477,6.928899503,0.521742191,762.9739258,37.15375244,7:15,1.78700261,0.078650764,-38.88013259,0.021280994,-0.797945379
31,10/1/2024,10:59:04 AM,Jayci Kruse,,Screwball,58.32940728,6.261050258,0.429903732,767.0801894,48.35325999,7:30,1.569427682,0.368202631,-37.9363035,-1.23324067,-2.821663979
,,,,,,,,,,,,,,,,
,Dropball Averages,,,Cutter Averages,,,Changeup Averages,,,,,,,,,
,Speed,58.05360757,,Speed,57.45015054,,Speed,50.41070045,,,,,,,,
,Vertical Break,-39.94595191,,Vertical Break,-39.87397389,,Vertical Break,-55.73278927,,,,,,,,
,Horizontal Break,-1.798590555,,Horizontal Break,-0.939546712,,Horizontal Break,-2.377238372,,,,,,,,
,Spin Rate,567.6097058,,Spin Rate,735.5756951,,Spin Rate,509.0243753,,,,,,,,
,Tilt,7:01,,Tilt,6:41,,Tilt,6:30,,,,,,,,
